Order_ID,Date,Time,Outlet,State,Model,ProductID,ProductName,Option,ItemBarcode,Brand,Department,Price,Qty,Revenue,Sales Person,Platform,Tax,Avg.Cost(AUD),L.Cost(AUD),GP%(Avg.Cost),GP%(L.Cost),Profit
85931,2024-08-06,14:02:56,THE GLEN,VIC,ADLV-23FW-SWATHK-BLK,2140,ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT BLACK,1.0,8809932246201,ADLV X HELLO KITTY,SWEATER,159.0,2.0,318.0,Website Admin,Online,28.91,146.86,146.86,49.20,49.20,171.14
85931,2024-08-06,14:02:56,THE GLEN,VIC,13637-PRODUCT-DISCOUNT,0,L-SALES [60%]<br /> - ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT BLACK,1.3452161442327393,NA,NA,SWEATER,-95.4,1.0,-95.4,Website Admin,Online,-8.67,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
85931,2024-08-06,14:02:56,THE GLEN,VIC,13637-PRODUCT-DISCOUNT,0,L-SALES [60%]<br /> - ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT BLACK,1.3452161442327393,NA,NA,SWEATER,-95.4,1.0,-95.4,Website Admin,Online,-8.67,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
85932,2024-08-06,14:02:59,QV MELBOURNE,VIC,ADLV-24SS-SWPLBS-BLK,2538,BASIC LOGO NEEDLEWORK PULLOVER SWEATSHIRT BLACK,2.0,8809977033934,LOGO PLAY,SWEATER,169.0,1.0,169.0,LINDA S,Offline,15.36,81.68,81.68,46.84,46.84,87.32
85933,2024-08-06,14:04:46,QV MELBOURNE,VIC,ADLV-22FW-HDBKBF-MKG,1781,BABY FACE MILK GIRL HOODIE BLACK,2.0,8809902201094,BABY FACE,HOODIES,189.0,1.0,189.0,LINDA S,Offline,17.18,89.93,89.93,47.66,47.66,99.07
85933,2024-08-06,14:04:46,QV MELBOURNE,VIC,ADLV_18FW_HDBKBF_DN1,434,ADLV BABY FACE HOODIE BLACK DONUT 1,2.0,8800000004211,BABY FACE,HOODIES,189.0,1.0,189.0,LINDA S,Offline,17.18,89.92,89.93,47.67,47.66,99.07
85934,2024-08-06,14:07:37,QV MELBOURNE,VIC,ADLV-BLIND-BOX-$199,2749,ADLV BLIND BOX $199,1.3452161442327393,1122013,NA,Warehouse,199.0,1.0,199.0,LINDA S,Offline,18.09,72.08029741763136,164.0,100.00,9.35,35.0
85935,2024-08-06,14:09:45,QV MELBOURNE,VIC,ADLV-BLIND-BOX-$199,2749,ADLV BLIND BOX $199,1.3452161442327393,1122013,NA,Warehouse,199.0,1.0,199.0,LINDA S,Offline,18.09,72.08029741763136,164.0,100.00,9.35,35.0
85936,2024-08-06,14:14:45,CHATSWOOD,NSW,ADLV-19SS-SSBKBF-DN3,418,ADLV BABY FACE SHORT SLEEVE T-SHIRT BLACK DONUT 3,2.0,8800000015293,BABY FACE,T-SHIRT,109.0,1.0,109.0,Kira Chen,Offline,9.91,48.56,48.68,50.99,50.87,60.32
85936,2024-08-06,14:14:45,CHATSWOOD,NSW,ADLV-21SS-SSWHBF-D1R,571,ADLV BABY FACE SHORT SLEEVE T-SHIRT WHITE DONUTS 1 R,2.0,8809692415657,BABY FACE,T-SHIRT,109.0,1.0,109.0,Kira Chen,Offline,9.91,48.41,48.68,51.15,50.87,60.32
85937,2024-08-06,14:19:01,CHATSWOOD,NSW,ADLV-24SS-ZPPLBS-CRM,2542,BASIC LOGO NEEDLEWORK HOODIE ZIP UP CREAM,1.0,8809977034009,LOGO PLAY,ZIP-UP JACKET/HOODIE,209.0,1.0,209.0,Allen Yang,Offline,19.0,98.18,98.18,48.33,48.33,110.82
85938,2024-08-06,14:24:48,QV MELBOURNE,VIC,ADLV-24SS-SWPLBS-CRM,2539,BASIC LOGO NEEDLEWORK PULLOVER SWEATSHIRT CREAM,2.0,8809977033958,LOGO PLAY,SWEATER,169.0,1.0,169.0,LINDA S,Offline,15.36,81.68,81.68,46.84,46.84,87.32
85939,2024-08-06,14:25:42,CHATSWOOD,NSW,ADLV-23FW-SWATHK-BLK,2140,ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT BLACK,1.0,8809932246201,ADLV X HELLO KITTY,SWEATER,159.0,1.0,159.0,Allen Yang,Offline,14.45,73.43,73.43,49.20,49.20,85.57
85939,2024-08-06,14:25:42,CHATSWOOD,NSW,13637-PRODUCT-DISCOUNT,0,L-SALES [60%]<br /> - ADLV X SANRIO HELLO KITTY ARTWORK SWEAT SHIRT BLACK,1.3452161442327393,NA,NA,SWEATER,-95.4,1.0,-95.4,Allen Yang,Offline,-8.67,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
85940,2024-08-06,14:26:24,QV MELBOURNE,VIC,ADLV-23FW-CTHWLG-GRY,2293,HOODIE WOOL LONG COAT GREY,2.0,8809932244894,LOGO PLAY,HOODIES,619.0,1.0,619.0,LINDA S,Offline,56.27,296.18,296.18,47.37,47.37,322.82
85940,2024-08-06,14:26:24,QV MELBOURNE,VIC,13578-PRODUCT-DISCOUNT,0,L-SALES [20%]<br /> - HOODIE WOOL LONG COAT GREY,1.3452161442327393,NA,NA,HOODIES,-123.8,1.0,-123.8,LINDA S,Offline,-11.25,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
85941,2024-08-06,14:46:19,QV MELBOURNE,VIC,ADLV-22SS-SPWRCT-NVY,1258,WORK COTTON SHORT PANTS NAVY,1.0,8809860420247,LOGO PLAY,BOTTOM (SHORTS),169.0,1.0,169.0,LINDA S,Offline,15.36,81.68,81.68,46.84,46.84,87.32
85941,2024-08-06,14:46:19,QV MELBOURNE,VIC,ADLV-24SS-ACLCCS-WHT,2680,CIRCLE SYMBOL SOCKS WHITE,1.3452161442327393,8809977035402,LOGO PLAY,SOCKS,19.0,1.0,19.0,LINDA S,Offline,1.73,7.68,7.68,55.54,55.54,11.32
85941,2024-08-06,14:46:19,QV MELBOURNE,VIC,ADLV-24SS-ACLBSB-BLU,2683,BIG SYMBOL LOGO SOCKS BLUE,1.3452161442327393,8809977035365,LOGO PLAY,SOCKS,19.0,1.0,19.0,LINDA S,Offline,1.73,7.68,7.68,55.54,55.54,11.32
85942,2024-08-06,15:07:28,CHADSTONE,VIC,ADLV-24SS-SSLRBR-CRM,2661,RABBIT BEAR DOLL LOGO SHORT SLEEVE T-SHIRT CREAM,1.0,8809977038366,ART WORK,T-SHIRT,109.0,1.0,109.0,Chloe T,Offline,9.91,45.75,45.75,53.83,53.83,63.25
85943,2024-08-06,15:23:07,QV MELBOURNE,VIC,ADLV-22SS-SSAILT-BLK,1599,I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT BLACK,1.0,8809860426799,ART WORK,T-SHIRT,109.0,1.0,109.0,Ling Yao,Offline,9.91,48.68,48.68,50.87,50.87,60.32
85943,2024-08-06,15:23:07,QV MELBOURNE,VIC,13646-PRODUCT-DISCOUNT,0,L-SALES [10%]<br /> - I LOVE TEDDY BEAR SHORT SLEEVE T-SHIRT BLACK,1.3452161442327393,NA,NA,T-SHIRT,-10.9,1.0,-10.9,Ling Yao,Offline,-0.99,72.08029741763136,73.53508931698775,NA,NA,79.89970928196146
85944,2024-08-06,15:27:16,QV MELBOURNE,VIC,ADLV-24SS-SSATHB-BLK,2666,CRAYON THREE BEAR ARTWORK SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038489,ART WORK,T-SHIRT,109.0,1.0,109.0,Ling Yao,Offline,9.91,45.75,45.75,53.83,53.83,63.25
85945,2024-08-06,15:29:03,QV MELBOURNE,VIC,ADLV-BLIND-BOX-$199,2749,ADLV BLIND BOX $199,1.3452161442327393,1122013,NA,Warehouse,199.0,1.0,199.0,Ling Yao,Offline,18.09,72.08029741763136,164.0,100.00,9.35,35.0
85946,2024-08-06,15:32:35,QV MELBOURNE,VIC,ADLV-24SS-SSLRBR-CCA,2663,RABBIT BEAR DOLL LOGO SHORT SLEEVE T-SHIRT COCOA,1.0,8809977038403,ART WORK,T-SHIRT,109.0,1.0,109.0,Ling Yao,Offline,9.91,45.75,45.75,53.83,53.83,63.25
85946,2024-08-06,15:32:35,QV MELBOURNE,VIC,ADLV-24SS-SSATHB-BLK,2666,CRAYON THREE BEAR ARTWORK SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038489,ART WORK,T-SHIRT,109.0,1.0,109.0,Ling Yao,Offline,9.91,45.75,45.75,53.83,53.83,63.25
85947,2024-08-06,16:00:43,QV MELBOURNE,VIC,ADLV-23FW-PTDLPN-BLK,2316,ADLV LOGO PATTERN DENIM PANTS BLACK,2.0,8809932244726,LOGO PLAY,BOTTOM (JEANS),279.0,1.0,279.0,LINDA S,Offline,25.36,131.18,131.18,48.28,48.28,147.82
85948,2024-08-06,16:01:45,QV MELBOURNE,VIC,ADLV-23FW-KNLHCG-GRY,2304,LETTERING LOGO MOHAIR CADIGAN GREY,1.0,8809932244184,LOGO PLAY,KNIT/CARDIGAN,279.0,1.0,279.0,LINDA S,Offline,25.36,131.18,131.18,48.28,48.28,147.82
85949,2024-08-06,16:05:43,QV MELBOURNE,VIC,ADLV-24SS-SSABDF-BLK,2658,BEAR DOLL FUZZY RABBIT SHORT SLEEVE T-SHIRT BLACK,1.0,8809977038328,ART WORK,T-SHIRT,109.0,1.0,109.0,Lawrence W,Offline,9.91,45.75,45.75,53.83,53.83,63.25
85950,2024-08-06,16:05:46,SYDNEY CBD,NSW,ADLV-24SS-SSABAQ-BEG,2598,BEAR APPLIQUE PIGMENT WASHING SHORT SLEEVE T-SHIRT BEIGE,2.0,8809977036485,ART WORK,T-SHIRT,119.0,1.0,119.0,Lydia h,Offline,10.82,56.93,56.93,47.38,47.38,62.07
